bedrooms,bathrooms,toilets,parking_space,title,town,state,price,listing_type
4,4,5,3,Semi Detached Duplex,Lekki,Lagos,85000000,rent
4,5,5,4,Semi Detached Duplex,Lekki,Lagos,150000000,sale
4,4,5,2,Terraced Duplexes,Lekki,Lagos,65000000,rent
4,4,5,2,Semi Detached Duplex,Lekki,Lagos,90000000,rent
3,4,4,3,Detached Bungalow,Ibeju Lekki,Lagos,22000000,rent
5,5,5,4,Detached Duplex,Surulere,Lagos,150000000,sale
5,5,6,6,Semi Detached Duplex,Ibeju Lekki,Lagos,49000000,rent
5,5,6,4,Detached Duplex,Ikeja,Lagos,130000000,rent
5,5,6,4,Detached Duplex,Lekki,Lagos,185000000,sale
4,3,4,4,Terraced Duplexes,Wuse 2,Abuja,195000000,sale
4,4,5,4,Detached Duplex,Lekki,Lagos,95000000,rent
5,5,6,2,Detached Duplex,Lekki,Lagos,95000000,rent
4,4,5,4,Detached Duplex,Ajah,Lagos,60000000,rent
4,4,5,4,Detached Duplex,Ajah,Lagos,85000000,rent
4,5,6,3,Terraced Duplexes,Lekki,Lagos,55000000,rent
5,5,6,4,Detached Duplex,Ojodu,Lagos,75000000,rent
3,3,4,2,Semi Detached Bungalow,Ajah,Lagos,36000000,rent
4,5,5,5,Terraced Duplexes,Guzape District,Abuja,70000000,rent
3,4,5,6,Detached Duplex,Kubwa,Abuja,16000000,rent
5,5,5,4,Detached Duplex,Lekki,Lagos,260000000,sale
3,3,4,2,Terraced Duplexes,Lekki,Lagos,47000000,rent
3,4,4,5,Terraced Duplexes,Lekki,Lagos,38000000,rent
5,5,6,4,Detached Duplex,Lekki,Lagos,106000000,rent
4,5,6,3,Semi Detached Duplex,Ajah,Lagos,48000000,rent
4,5,5,4,Detached Duplex,Ajah,Lagos,70000000,rent
5,6,6,5,Detached Duplex,Lekki,Lagos,115000000,rent
4,5,5,4,Block of Flats,Lekki,Lagos,42000000,rent
4,4,5,4,Semi Detached Duplex,Maryland,Lagos,87000000,rent
5,5,6,6,Detached Duplex,Lekki,Lagos,120000000,rent
4,4,5,4,Terraced Duplexes,Lekki,Lagos,125000000,rent
3,3,4,5,Detached Bungalow,Ibeju Lekki,Lagos,27000000,rent
5,5,6,5,Detached Duplex,Lekki,Lagos,140000000,rent
4,4,5,2,Terraced Duplexes,Lekki,Lagos,50000000,rent
4,4,5,3,Detached Duplex,Ajah,Lagos,55000000,rent
4,5,5,4,Semi Detached Duplex,Lekki,Lagos,250000000,sale
4,4,4,5,Semi Detached Bungalow,Ipaja,Lagos,17000000,rent
5,6,5,4,Detached Duplex,Lekki,Lagos,145000000,rent
4,4,5,3,Terraced Duplexes,Lekki,Lagos,70000000,rent
4,4,4,3,Terraced Duplexes,Karsana,Abuja,35000000,rent
3,4,4,4,Detached Bungalow,Ibeju Lekki,Lagos,18000000,rent
3,3,4,2,Block of Flats,Victoria Island (Vi),Lagos,140000000,rent
3,4,4,4,Block of Flats,Wuye,Abuja,35000000,rent
4,5,5,4,Terraced Duplexes,Wuse,Abuja,140000000,rent
5,5,6,3,Terraced Duplexes,Lekki,Lagos,98000000,rent
6,6,7,8,Detached Duplex,Lekki,Lagos,160000000,sale
4,4,5,3,Semi Detached Duplex,Life Camp,Abuja,45000000,rent
4,4,5,4,Detached Duplex,Lekki,Lagos,140000000,rent
4,4,5,6,Detached Duplex,Lekki,Lagos,120000000,rent
5,5,5,3,Terraced Duplexes,Ikoyi,Lagos,230000000,sale
4,5,5,5,Detached Bungalow,Lugbe District,Abuja,35000000,rent
4,4,5,1,Semi Detached Bungalow,Ibeju Lekki,Lagos,42000000,rent
4,4,5,4,Semi Detached Bungalow,Kurudu,Abuja,18000000,rent
4,5,5,4,Terraced Duplexes,Ikoyi,Lagos,250000000,sale
5,6,7,4,Detached Duplex,Lekki,Lagos,170000000,sale
4,4,5,3,Detached Duplex,Isolo,Lagos,65000000,rent
3,3,4,4,Detached Bungalow,Ajah,Lagos,35000000,rent
3,4,4,1,Detached Bungalow,Gwarinpa,Abuja,60000000,rent
3,4,4,4,Semi Detached Duplex,Lekki,Lagos,45000000,rent
3,3,4,2,Terraced Duplexes,Ajah,Lagos,40000000,rent
5,5,6,3,Detached Duplex,Victoria Island (Vi),Lagos,165000000,sale
5,5,6,4,Detached Duplex,Ajah,Lagos,77000000,rent
5,5,6,4,Detached Duplex,Lekki,Lagos,150000000,sale
5,5,6,3,Detached Duplex,Lekki,Lagos,105000000,rent
5,5,6,4,Detached Duplex,Lekki,Lagos,160000000,sale
5,4,4,4,Detached Duplex,Lekki,Lagos,80000000,rent
4,4,5,3,Detached Duplex,Lekki,Lagos,60000000,rent
4,4,5,4,Detached Duplex,Victoria Island (Vi),Lagos,140000000,rent
4,4,5,4,Terraced Duplexes,Lekki,Lagos,59000000,rent
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,67000000,rent
4,4,5,2,Terraced Duplexes,Karmo,Abuja,45000000,rent
3,3,4,1,Block of Flats,Ajah,Lagos,35000000,rent
5,5,6,4,Detached Duplex,Lekki,Lagos,140000000,rent
5,5,5,4,Detached Duplex,Isolo,Lagos,80000000,rent
4,4,5,4,Detached Duplex,Lekki,Lagos,100000000,rent
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,55000000,rent
4,5,6,3,Terraced Duplexes,Wuye,Abuja,57000000,rent
3,3,4,4,Terraced Bungalow,Ikorodu,Lagos,18000000,rent
4,4,5,4,Detached Duplex,Lekki,Lagos,80000000,rent
4,4,5,4,Terraced Duplexes,Victoria Island (Vi),Lagos,120000000,rent
5,5,6,4,Detached Duplex,Lekki,Lagos,75000000,rent
5,4,4,4,Detached Duplex,Lekki,Lagos,150000000,sale
5,5,6,4,Detached Duplex,Magodo,Lagos,170000000,sale
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,90000000,rent
4,5,5,1,Terraced Duplexes,Guzape District,Abuja,120000000,rent
3,5,5,4,Block of Flats,Lekki,Lagos,65000000,rent
4,5,4,3,Semi Detached Duplex,Lekki,Lagos,38000000,rent
5,5,6,3,Detached Duplex,Lekki,Lagos,125000000,rent
5,5,6,4,Detached Duplex,Lekki,Lagos,200000000,sale
4,4,5,4,Detached Duplex,Gbagada,Lagos,60000000,rent
4,5,5,4,Detached Duplex,Gwarinpa,Abuja,35000000,rent
5,5,6,7,Semi Detached Duplex,Victoria Island (Vi),Lagos,230000000,sale
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,200000000,sale
5,6,6,2,Terraced Duplexes,Guzape District,Abuja,70000000,rent
